paper_id,title,year,venue,doi,url,type,publisher,seed_query,tag,query_hits,queries
1167,A task space redundancy-based scheme for motion planning,,"Proceedings of the 2003 American Control Conference, 2003.",10.1109/acc.2003.1244063,https://doi.org/10.1109/acc.2003.1244063,proceedings-article,IEEE,task and motion planning partial observability manipulation,robotics,1,task and motion planning partial observability manipulation
1168,Motion Planning for Robotic Manipulation of Deformable Linear Objects,,Springer Tracts in Advanced Robotics,10.1007/978-3-540-77457-0_3,https://doi.org/10.1007/978-3-540-77457-0_3,book-chapter,Springer Berlin Heidelberg,task and motion planning partial observability manipulation,robotics,1,task and motion planning partial observability manipulation
1169,Enhancing the LLM-Based Robot Manipulation Through Human-Robot Collaboration_supp1-3415931.mp4,,,10.1109/lra.2024.3415931/mm1,https://doi.org/10.1109/lra.2024.3415931/mm1,component,Institute of Electrical and Electronics Engineers (IEEE),goal occlusion robot manipulation,robotics,1,goal occlusion robot manipulation
1170,Co-manipulation sûre d’un robot de protonthérapie,,,10.70675/da4b9bd5z4486z4e83z8323z02ab9dd64883,https://doi.org/10.70675/da4b9bd5z4486z4e83z8323z02ab9dd64883,dissertation,Agence Bibliographique de l'Enseignement Supérieur,goal occlusion robot manipulation,robotics,1,goal occlusion robot manipulation
1171,Reconfigurable Magnetic Liquid Metal Robot for High-Performance Droplet Manipulation,,,10.1021/acs.nanolett.2c00100.s006,https://doi.org/10.1021/acs.nanolett.2c00100.s006,component,American Chemical Society (ACS),goal occlusion robot manipulation,robotics,1,goal occlusion robot manipulation
1172,Reconfigurable Magnetic Liquid Metal Robot for High-Performance Droplet Manipulation,,,10.1021/acs.nanolett.2c00100.s004,https://doi.org/10.1021/acs.nanolett.2c00100.s004,component,American Chemical Society (ACS),goal occlusion robot manipulation,robotics,1,goal occlusion robot manipulation
1173,Reconfigurable Magnetic Liquid Metal Robot for High-Performance Droplet Manipulation,,,10.1021/acs.nanolett.2c00100.s003,https://doi.org/10.1021/acs.nanolett.2c00100.s003,component,American Chemical Society (ACS),goal occlusion robot manipulation,robotics,1,goal occlusion robot manipulation
1174,Reconfigurable Magnetic Liquid Metal Robot for High-Performance Droplet Manipulation,,,10.1021/acs.nanolett.2c00100.s009,https://doi.org/10.1021/acs.nanolett.2c00100.s009,component,American Chemical Society (ACS),goal occlusion robot manipulation,robotics,1,goal occlusion robot manipulation
1175,Fluid series elastic force control for robot manipulation,,,10.17760/d20324057,https://doi.org/10.17760/d20324057,dissertation,Northeastern University Library,goal occlusion robot manipulation,robotics,1,goal occlusion robot manipulation
1176,Reconfigurable Magnetic Liquid Metal Robot for High-Performance Droplet Manipulation,,,10.1021/acs.nanolett.2c00100.s007,https://doi.org/10.1021/acs.nanolett.2c00100.s007,component,American Chemical Society (ACS),goal occlusion robot manipulation,robotics,1,goal occlusion robot manipulation
1177,RobotGPT: Robot Manipulation Learning from ChatGPT_supp1-3357432.mp4,,,10.1109/lra.2024.3357432/mm1,https://doi.org/10.1109/lra.2024.3357432/mm1,component,Institute of Electrical and Electronics Engineers (IEEE),goal occlusion robot manipulation,robotics,1,goal occlusion robot manipulation
1178,Camera space manipulation of a mobile robot,,,10.31274/rtd-180813-10302,https://doi.org/10.31274/rtd-180813-10302,dissertation,Iowa State University,goal occlusion robot manipulation,robotics,1,goal occlusion robot manipulation
1179,Robot dexterity: from deformable grasping to impulsive manipulation,,,10.31274/etd-180810-4537,https://doi.org/10.31274/etd-180810-4537,dissertation,Iowa State University,goal occlusion robot manipulation,robotics,1,goal occlusion robot manipulation
